Event_id,Ad_id,User_id,Date,Time,Time_of_day,Event_type,Campaign_id,Ad_platform,Ad_type,Target_gender,Target_age_group,Target_interests,campaign_id,campaign_name,start_date,end_date,total_budget,user_gender,user_age,country,location,user_interests
3368,3,a2474,20-07-2025,14:18:22,Afternoon,Impression,20,Instagram,Carousel,All,25-34,Technology,20,Campaign_20_Winter,17-02-2025,18-05-2025,98904.66,Female,24,United Kingdom,New Mariomouth,Health
3368,3,a2474,20-07-2025,14:18:22,Afternoon,Impression,20,Instagram,Carousel,All,25-34,Technology,20,Campaign_20_Winter,17-02-2025,18-05-2025,98904.66,Female,24,United Kingdom,New Mariomouth,Fitness
8064,65,a2474,27-07-2025,20:39:23,Evening,Impression,4,Facebook,Stories,Female,All,Finance,4,Campaign_4_Summer,04-06-2025,08-08-2025,45326.6,Female,24,United Kingdom,New Mariomouth,Health
8064,65,a2474,27-07-2025,20:39:23,Evening,Impression,4,Facebook,Stories,Female,All,Finance,4,Campaign_4_Summer,04-06-2025,08-08-2025,45326.6,Female,24,United Kingdom,New Mariomouth,Fitness
9950,78,a2474,10-05-2025,23:48:48,Evening,Click,26,Facebook,Image,Female,18-24,Gaming,26,Campaign_26_Winter,01-04-2025,17-06-2025,44538.87,Female,24,United Kingdom,New Mariomouth,Health
9950,78,a2474,10-05-2025,23:48:48,Evening,Click,26,Facebook,Image,Female,18-24,Photography,26,Campaign_26_Winter,01-04-2025,17-06-2025,44538.87,Female,24,United Kingdom,New Mariomouth,Health
9950,78,a2474,10-05-2025,23:48:48,Evening,Click,26,Facebook,Image,Female,18-24,Gaming,26,Campaign_26_Winter,01-04-2025,17-06-2025,44538.87,Female,24,United Kingdom,New Mariomouth,Fitness
9950,78,a2474,10-05-2025,23:48:48,Evening,Click,26,Facebook,Image,Female,18-24,Photography,26,Campaign_26_Winter,01-04-2025,17-06-2025,44538.87,Female,24,United Kingdom,New Mariomouth,Fitness
29650,180,a2474,29-07-2025,00:29:46,Night,Impression,47,Instagram,Image,Male,18-24,Finance,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Female,24,United Kingdom,New Mariomouth,Health
29650,180,a2474,29-07-2025,00:29:46,Night,Impression,47,Instagram,Image,Male,18-24,Sports,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Female,24,United Kingdom,New Mariomouth,Health
29650,180,a2474,29-07-2025,00:29:46,Night,Impression,47,Instagram,Image,Male,18-24,Finance,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Female,24,United Kingdom,New Mariomouth,Fitness
